t,theta_deg,force_N,pin_radial_mm,pin_axial_mm,pen_travel_mm,pen_seat_mm,pen_stop_mm,pen_interface_mm
1.637500,218.801756,-0.014400,0.194302,0.024725,0.000000,0.000000,0.000000,0.000359
1.638000,218.801737,-0.014475,0.194300,0.024725,0.000000,0.000000,0.000000,0.000360
1.638500,218.801714,-0.014550,0.194298,0.024725,0.000000,0.000000,0.000000,0.000360
1.639000,218.804413,-0.014625,0.194185,0.024724,0.000000,0.000000,0.000000,0.000302
1.639500,218.803555,-0.014700,0.194228,0.024726,0.000000,0.000000,0.000000,0.000415
1.640000,218.802991,-0.014775,0.194255,0.024723,0.000000,0.000000,0.000000,0.000399
1.640500,218.802579,-0.014850,0.194259,0.024724,0.000000,0.000000,0.000000,0.000390
1.641000,218.802259,-0.014925,0.194259,0.024724,0.000000,0.000000,0.000000,0.000382
1.641500,218.802003,-0.015000,0.194257,0.024724,0.000000,0.000000,0.000000,0.000377
1.642000,218.801791,-0.015075,0.194253,0.024725,0.000000,0.000000,0.000000,0.000372
1.642500,218.801611,-0.015150,0.194247,0.024725,0.000000,0.000000,0.000000,0.000369
1.643000,218.801450,-0.015225,0.194239,0.024725,0.000000,0.000000,0.000000,0.000367
1.643500,218.801302,-0.015300,0.194230,0.024724,0.000000,0.000000,0.000000,0.000364
1.644000,218.801161,-0.015375,0.194219,0.024725,0.000000,0.000000,0.000000,0.000337
1.644500,218.803670,-0.015450,0.194101,0.024724,0.000000,0.000000,0.000000,0.000335
1.645000,218.802723,-0.015525,0.194133,0.024726,0.000000,0.000000,0.000000,0.000413
1.645500,218.802028,-0.015600,0.194148,0.024724,0.000000,0.000000,0.000000,0.000430
1.646000,218.801487,-0.015675,0.194140,0.024725,0.000000,0.000000,0.000000,0.000442
1.646500,218.801028,-0.015750,0.194140,0.024723,0.000000,0.000000,0.000000,0.000450
1.647000,218.800650,-0.015825,0.194122,0.024725,0.000000,0.000000,0.000000,0.000458
1.647500,218.800317,-0.015900,0.194102,0.024726,0.000000,0.000000,0.000000,0.000463
1.648000,218.799999,-0.015975,0.194092,0.024724,0.000000,0.000000,0.000000,0.000467
1.648500,218.802380,-0.016050,0.193964,0.024723,0.000000,0.000000,0.000000,0.000434
1.649000,218.801341,-0.016125,0.193978,0.024725,0.000000,0.000000,0.000000,0.000487
1.649500,218.800550,-0.016200,0.193977,0.024723,0.000000,0.000000,0.000000,0.000486
1.650000,218.799911,-0.016275,0.193953,0.024724,0.000000,0.000000,0.000000,0.000484
1.650500,218.799361,-0.016350,0.193927,0.024725,0.000000,0.000000,0.000000,0.000482
1.651000,218.798860,-0.016425,0.193910,0.024723,0.000000,0.000000,0.000000,0.000481
1.651500,218.801036,-0.016500,0.193784,0.024722,0.000000,0.000000,0.000000,0.000444
1.652000,218.799855,-0.016575,0.193799,0.024723,0.000000,0.000000,0.000000,0.000494
1.652500,218.798961,-0.016650,0.193772,0.024724,0.000000,0.000000,0.000000,0.000492
1.653000,218.798206,-0.016725,0.193739,0.024725,0.000000,0.000000,0.000000,0.000488
1.653500,218.797532,-0.016800,0.193715,0.024723,0.000000,0.000000,0.000000,0.000485
1.654000,218.799517,-0.016875,0.193592,0.024722,0.000000,0.000000,0.000000,0.000447
1.654500,218.798214,-0.016950,0.193598,0.024723,0.000000,0.000000,0.000000,0.000495
1.655000,218.797204,-0.017025,0.193562,0.024724,0.000000,0.000000,0.000000,0.000493
1.655500,218.796340,-0.017100,0.193522,0.024725,0.000000,0.000000,0.000000,0.000488
1.656000,218.795574,-0.017175,0.193479,0.024724,0.000000,0.000000,0.000000,0.000486
1.656500,218.797438,-0.017250,0.193358,0.024723,0.000000,0.000000,0.000000,0.000447
1.657000,218.796047,-0.017325,0.193347,0.024725,0.000000,0.000000,0.000000,0.000495
1.657500,218.794961,-0.017400,0.193314,0.024723,0.000000,0.000000,0.000000,0.000463
1.658000,218.793982,-0.017475,0.193274,0.024722,0.000000,0.000000,0.000000,0.000465
1.658500,218.795652,-0.017550,0.193164,0.024721,0.000000,0.000000,0.000000,0.000411
1.659000,218.794104,-0.017625,0.193159,0.024722,0.000000,0.000000,0.000000,0.000466
1.659500,218.792887,-0.017700,0.193123,0.024721,0.000000,0.000000,0.000000,0.000440
1.660000,218.791822,-0.017775,0.193080,0.024720,0.000000,0.000000,0.000000,0.000419
